appId,isFraud,Gemini_Label,Gemini_Reason
com.dhan.live,genuine,genuine,"App falls under the Finance category with high ratings and a large install base. The developer has a website and a valid privacy policy, suggesting legitimacy."
com.binance.dev,genuine,genuine,Binance is a well-known crypto exchange with a large user base and significant regulatory oversight. The app metadata aligns with a legitimate financial application.
com.hsjdoaswf.hopesjqudhsfund.poqisuejfhdnxs,fraud,fraud,"Low rating (2.7), generic app ID, and high interest rates (0.05% daily) are red flags. While it claims association with an NBFC, further verification is needed. "
com.innofinsolutions.instamoney,genuine,genuine,"RBI-registered NBFC-P2P, high number of installs, good rating, listed website, privacy policy and physical address."
com.ideopay.user,genuine,genuine,"The app appears to be a legitimate finance app offering loans and UPI services. It cites partnerships with RBI-registered NBFCs and provides detailed loan information, increasing its credibility."
com.paytm.business,genuine,genuine,Paytm for Business is a well-established and widely used app in India for business transactions. The app has a large user base and a legitimate business model.
com.easypay.emicalculator.carloan,fraud,fraud,Mismatch between developer and legal details (name/email/address) is suspicious. Zero ratings/reviews despite 10k+ installs is also unusual.
com.swarvit.emiloancalculator.cashcounteremi.mortgagecalculator.loanprimeemiloancalculator,fraud,fraud,"The app description contains many disclaimers, stating it's not a loan provider despite the app's title.  A high number of 1-star ratings compared to total ratings also raises suspicion."
com.coinvest.bukem,fraud,fraud,"The app description makes claims of advanced trading tools, while having very few installs and no ratings. The developer's legal address is in Morocco, which doesn't align with the app targeting the Indian stock market."
com.smart.finance.fund.allocation.planner,fraud,fraud,"High APR (24%), short loan terms, and a new app with few reviews are red flags. Verify the listed legal address and phone number."
com.professional.creditscore,fraud,fraud,Developer is a restaurant group. Mismatch between developer identity and app purpose raises suspicion. Email and address also link to a restaurant.
com.iexceed.appzillon.ippbMB,genuine,genuine,"Official banking app with high install count and ratings. Developer details are consistent and point to a legitimate financial institution. Last updated date is in the future, but not enough to mark as fraud."
com.loanemicalculator.emicalculatorapp.emiloancalculator.loanemi.calculatorapp,fraud,fraud,"The app claims to be a financial tool, not a loan provider, but the description heavily focuses on loan calculations. The developer's legal details also seem inconsistent. The release date is in the future."
com.axis.mobile,genuine,genuine,"Legitimate banking app from Axis Bank, a well-known institution. High install count (50M+) and positive ratings (4.7 stars from 3M+ ratings) indicate a genuine and trusted application."
com.appsrx.rxminer,fraud,fraud,Promises of easy wealth with no risk in finance apps are often scams. Lack of reviews/ratings and generic privacy policy add to suspicion.
co.median.android.eakmkm,fraud,fraud,Extremely high rating (4.96/5 with 118 ratings) for a relatively new app with only 1000+ installs raises suspicion. The generic app name and loan-related description also warrant further investigation.
com.emiloan.instantcalculatora.loantool.loanplanner,fraud,fraud,"The app description disclaims being a loan provider, yet the app name and keywords suggest otherwise. Developer contact emails use generic addresses, which raises a flag."
cashloan.emi.loan.calculator.emis.calculates,fraud,fraud,"App claims to be a loan calculator but uses 'Cash Loan' in the title while stating it doesn't offer loan services. Coupled with a generic developer name, raises suspicion."
com.nbab.cashloan.loanemicalc.financetoolsapp,fraud,fraud,"Misleading description, focuses on loans despite disclaimer. High number of installs with few reviews raises suspicion."
com.akab.loanpro.easycalculate.emicalculator,fraud,fraud,App released in the future (2025). Developer email is a generic Gmail address. No ratings/reviews with 500+ installs. Website is a blogspot. These indicators suggest potentially fraudulent activity.
com.loanmaster.emicalculator,fraud,fraud,"New app (released in 2025) with few installs and no ratings/reviews raises suspicion. Privacy policy URL points to 2025, indicating potential issues."
icici.lombard.ghi,genuine,genuine,"The app belongs to ICICI Lombard, a well-known insurance company. The app description aligns with its services. The developer details are consistent with a legitimate financial institution."
com.google.android.apps.nbu.paisa.user,genuine,genuine,"Google Pay is a well-established app by Google with a large user base, positive ratings, and verifiable developer information, indicating a genuine application."
com.mapasss.bitcoinfaucetblast,fraud,fraud,"The app promises easy Bitcoin earnings through simple tasks and quick payouts, common in low-quality apps. The lack of ratings/reviews and a generic description raise suspicion."
com.branch_international.branch.branch_demo_android,genuine,genuine,"RBI-registered NBFC with high ratings and a large number of installs suggests a genuine app. Provides address, contact info & adheres to regulations, increasing credibility."
com.benevolend.bbposervices,fraud,fraud,BPO as developer for a lending app and a generic gmail address raise concerns. Discrepancy between the described loan provider and the listed developer increases suspicion.
com.rupicard.score,genuine,genuine,"The app provides credit score information and advice, aligning with its description. The developer has a website and privacy policy, which increases legitimacy. High rating and install numbers also suggest a genuine app."
com.coindcx.btc,genuine,genuine,"Popular crypto trading app with high ratings, many installs, and a legitimate developer. Compliant with regulations and provides detailed contact information."
in.org.npci.upiapp,genuine,genuine,"BHIM is a legitimate UPI app developed by National Payments Corporation of India (NPCI). It has a large user base and positive ratings. Last updated date is in the future, but this is a data error and doesn't change the genuine nature."
tech.fplabs.score,genuine,genuine,"The app has a high rating, many installs, and a detailed description, suggesting it's a legitimate finance app. Developer information is also complete."
com.Version1,genuine,genuine,"Official app of Punjab National Bank with high ratings, many installs, and a legitimate developer profile. Last updated date is in the future which is likely a data error."
com.innopay.payment.user,genuine,genuine,App provides bill payment and recharge services. The developer has a website and privacy policy. Installs are high with good ratings. Last updated date is recent.
com.loan.emi.calculator.loanguru.financetool.easyloanemi,fraud,fraud,"Generic email domains, mismatched legal info, and a lack of ratings despite many installs suggest potential fraudulent activity. Privacy policy is on a generic blog."
org.altruist.BajajExperia,genuine,genuine,"App belongs to Bajaj Finserv, a well-known financial institution in India. The app description aligns with the services offered by the company, and the developer information is consistent."
money.super.payments,genuine,genuine,"The app has a legitimate developer with a clear privacy policy and contact information. It also has a large number of installs and positive ratings, suggesting it's a genuine finance app."
com.ramfincorploan,genuine,genuine,"App provides detailed loan information, registered with RBI, and has a privacy policy. Installs are high, and ratings are reasonably good. The developer has a legal presence."
com.phonepe.app.business,genuine,genuine,This is a well-established finance app with a large user base and a legitimate business model. The app details are consistent and the developer information is valid.
com.myairtelapp,genuine,genuine,"App belongs to a well-known telecom company, Airtel. Offers genuine services like recharge, bill payment, and banking. High install count and ratings indicate legitimacy."
com.wise.emiloancalc,fraud,fraud,"Inconsistent developer info (outlook.com, gmail.com emails), low review count for installs, and a generic Google Sites privacy policy raise suspicion."
com.loanday.emicalculator.firstemichoise.mortgageemicalculator,fraud,genuine,"The app is a financial calculator, not a loan provider, and has a clear disclaimer. The developer provides contact information and a privacy policy, increasing transparency."
com.balancehero.truebalance,genuine,genuine,"The app provides financial services, including loans and UPI payments. It has a large user base and generally positive reviews. Information is consistent with a legitimate finance app."
emi.loanemi.finance.financecalculator,fraud,fraud,"App claims to be a financial calculator, but the developer's email and website suggest a focus on photo editing. The app's release date is in the future (2025) which is highly suspicious."
com.banking.loan.financial.stock.mutual.sip.othercalculator,fraud,fraud,"The app's developer information raises suspicion. Generic email, website, and a vague legal address combined with a future release date point towards potential fraud."
com.cashloan.loantoolapp.emiloanapp,fraud,fraud,"The app description mentions loan calculations, but the developer's email and website appear generic. No ratings or reviews despite 10k+ installs raises suspicion. Legal address is just 'India'."
com.mpokket.app,genuine,genuine,The app falls under the Finance category with a high number of installs (10M+) and ratings (4.4). The developer information is consistent and the app provides a privacy policy.
